species,bone_canonical,record_id,title,license,resource_url,resource_format,usnm_number,record_link,download_status,local_path,downloaded_at
Alouatta palliata,cranium,nmnhvz_7283884,"Alouatta palliata: Cranium (Full resolution 3D mesh, ply, scale in mm)",CC0,https://3d-api.si.edu/content/document/3d_package:cd2887d3-a62a-4383-82d5-a85051053e03/resources/USNM240407_cranium_-600.ply,ply,084900,http://n2t.net/ark:/65665/39d454b29-8dba-479d-9240-2b3424a653a4,done,data/meshes/alouatta_palliata/cranium/nmnhvz_7283884,2026-07-22T16:19:11.850877+00:00
Gorilla gorilla gorilla,cranium,nmnhvz_10201159,"Gorilla gorilla gorilla: Cranium (Full resolution 3D mesh, ply, scale in mm)",CC0,https://3d-api.si.edu/content/document/3d_package:a7ac9910-72e5-4d6c-ba2d-f6ba0e1993d3/resources/USNM599165_cranium_-700_dec.ply,ply,2056906,http://n2t.net/ark:/65665/3c2ad4800-c4b0-4333-af8f-9f8dc2844892,done,data/meshes/gorilla_gorilla_gorilla/cranium/nmnhvz_10201159,2026-07-22T16:20:27.818210+00:00
Macaca radiata,cranium,nmnhvz_7049315,"Macaca radiata: Cranium (Full resolution 3D mesh, ply, scale in mm)",CC0,https://3d-api.si.edu/content/document/3d_package:0a2d3b59-fb7b-48cf-ace1-08a411d7793c/resources/USNM398463_cranium_-600.ply,ply,Mammals Field Number : 2703,http://n2t.net/ark:/65665/3a7dbb76f-e8c1-4c5f-910a-c8d6035b3328,done,data/meshes/macaca_radiata/cranium/nmnhvz_7049315,2026-07-22T16:21:15.239310+00:00
Pan troglodytes verus,cranium,nmnhvz_7356396,"Pan troglodytes verus: Cranium (Full resolution 3D mesh, ply, scale in mm)",CC0,https://3d-api.si.edu/content/document/3d_package:91cd0a86-c13b-4c8e-9a49-ed01377f7082/resources/USNM477333_Cranium_-500.ply,ply,279834,http://n2t.net/ark:/65665/3abec6a31-a370-4387-9fab-fe397c5ad835,done,data/meshes/pan_troglodytes_verus/cranium/nmnhvz_7356396,2026-07-22T16:22:40.652901+00:00
Symphalangus syndactylus,cranium,nmnhvz_7047769,"Symphalangus syndactylus: Cranium (Full resolution 3D mesh, ply, scale in mm)",CC0,https://3d-api.si.edu/content/document/3d_package:6bd7d9fd-f3d7-4b8e-aff8-2eaf32d4b573/resources/USNM395514_cranium_-600_dec.ply,ply,Mammals Field Number : No Number,http://n2t.net/ark:/65665/3636a27f2-3597-4dfa-b724-5b0bd7012430,done,data/meshes/symphalangus_syndactylus/cranium/nmnhvz_7047769,2026-07-22T16:23:49.872065+00:00
Alouatta palliata,mandible,nmnhvz_7235149,"Alouatta palliata: Mandible (Full resolution 3D mesh, ply, scale in mm)",CC0,https://3d-api.si.edu/content/document/3d_package:dba49589-fce9-4b9a-949a-1a558f2d2d34/resources/USNM79400_mandible_-200.ply,ply,Mammals Field Number : 9554,http://n2t.net/ark:/65665/3ba01e6e7-e28b-4eef-a12f-7334b1d812f7,done,data/meshes/alouatta_palliata/mandible/nmnhvz_7235149,2026-07-22T16:24:26.708043+00:00
Gorilla gorilla gorilla,mandible,nmnhvz_10201159,"Gorilla gorilla gorilla: Mandible (Full resolution 3D mesh, ply, scale in mm)",CC0,https://3d-api.si.edu/content/document/3d_package:a48fb71b-a459-474c-bb6a-237c70245f59/resources/USNM599165_mandible_-300_dec.ply,ply,2056906,http://n2t.net/ark:/65665/3c2ad4800-c4b0-4333-af8f-9f8dc2844892,done,data/meshes/gorilla_gorilla_gorilla/mandible/nmnhvz_10201159,2026-07-22T16:25:54.839190+00:00
Lemur catta,mandible,nmnhvz_7047770,"Lemur catta: Mandible (Full resolution 3D mesh, ply, scale in mm)",CC0,https://3d-api.si.edu/content/document/3d_package:af545407-461e-4957-b2e1-2241d22efa0a/resources/USNM395515_mandible_0.ply,ply,000000,http://n2t.net/ark:/65665/39aa92c19-56dc-4052-b443-d2f9bcc70b58,done,data/meshes/lemur_catta/mandible/nmnhvz_7047770,2026-07-22T16:26:20.691636+00:00
Macaca radiata,mandible,nmnhvz_7049315,"Macaca radiata: Mandible (Full resolution 3D mesh, ply, scale in mm)",CC0,https://3d-api.si.edu/content/document/3d_package:4f7d5937-74b6-401c-9df7-7894ffcce396/resources/USNM398463_mandible_-100.ply,ply,Mammals Field Number : 2703,http://n2t.net/ark:/65665/3a7dbb76f-e8c1-4c5f-910a-c8d6035b3328,done,data/meshes/macaca_radiata/mandible/nmnhvz_7049315,2026-07-22T16:26:44.288259+00:00
Pan troglodytes verus,mandible,nmnhvz_7356396,"Pan troglodytes verus: Mandible (Full resolution 3D mesh, ply, scale in mm)",CC0,https://3d-api.si.edu/content/document/3d_package:312d0803-e85e-42da-85bd-da951b24e4d1/resources/USNM477333_Mandible_-100.ply,ply,279834,http://n2t.net/ark:/65665/3abec6a31-a370-4387-9fab-fe397c5ad835,done,data/meshes/pan_troglodytes_verus/mandible/nmnhvz_7356396,2026-07-22T16:27:23.299574+00:00
Symphalangus syndactylus,mandible,nmnhvz_7047769,"Symphalangus syndactylus: Mandible (Full resolution 3D mesh, ply, scale in mm)",CC0,https://3d-api.si.edu/content/document/3d_package:73fcf0fe-815d-4d78-bd2c-f5cf5f462d2a/resources/USNM395514_mandible_-500.ply,ply,Mammals Field Number : No Number,http://n2t.net/ark:/65665/3636a27f2-3597-4dfa-b724-5b0bd7012430,done,data/meshes/symphalangus_syndactylus/mandible/nmnhvz_7047769,2026-07-22T16:27:49.630430+00:00
